SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1630581,0022500930,2026-03-08,CHI @ SAC,L,34,6,13,0.462,2,6,0.333,1,1,1.0,1,11,12,10,1,0,3,0,15,0,1
22025,1630581,0022500889,2026-03-03,CHI vs. OKC,L,33,5,12,0.417,3,7,0.429,1,2,0.5,1,8,9,9,1,2,4,1,14,-15,1
22025,1630581,0022500870,2026-03-01,CHI vs. MIL,W,32,7,14,0.5,5,11,0.455,1,1,1.0,3,11,14,10,2,1,4,0,20,26,1
22025,1630581,0022500853,2026-02-26,CHI vs. POR,L,28,6,9,0.667,2,4,0.5,1,1,1.0,1,5,6,9,1,0,4,3,15,13,1
22025,1630581,0022500836,2026-02-24,CHI vs. CHA,L,26,3,11,0.273,0,2,0.0,2,3,0.667,0,2,2,5,2,0,5,1,8,-22,1
22025,1630581,0022500825,2026-02-22,CHI vs. NYK,L,23,2,10,0.2,0,3,0.0,2,3,0.667,1,1,2,6,2,0,2,1,6,-14,1
22025,1630581,0022500814,2026-02-21,CHI vs. DET,L,27,10,16,0.625,5,8,0.625,2,5,0.4,2,4,6,3,0,1,5,1,27,-7,1
22025,1630581,0022500797,2026-02-19,CHI vs. TOR,L,21,1,7,0.143,0,2,0.0,3,4,0.75,1,3,4,5,2,1,4,3,5,-22,1
22025,1630581,0022500672,2026-01-28,CHI @ IND,L,29,3,8,0.375,0,3,0.0,4,4,1.0,2,2,4,7,1,0,3,2,10,-1,1
22025,1630581,0022500661,2026-01-26,CHI vs. LAL,L,28,6,14,0.429,3,8,0.375,4,4,1.0,2,4,6,7,0,0,3,0,19,-23,1
22025,1630581,0022500647,2026-01-24,CHI vs. BOS,W,24,1,6,0.167,0,2,0.0,2,2,1.0,2,6,8,10,0,0,5,0,4,-5,1
22025,1630581,0022500631,2026-01-22,CHI @ MIN,W,26,7,13,0.538,0,3,0.0,7,9,0.778,0,6,6,5,2,0,2,0,21,2,1
22025,1630581,0022500452,2025-12-29,CHI vs. MIN,L,18,3,10,0.3,1,4,0.25,4,4,1.0,0,4,4,3,0,0,1,0,11,-1,1
22025,1630581,0022500437,2025-12-27,CHI vs. MIL,L,26,4,10,0.4,1,3,0.333,4,4,1.0,1,6,7,9,0,0,4,1,13,-11,1
22025,1630581,0022500427,2025-12-26,CHI vs. PHI,W,33,3,12,0.25,1,6,0.167,5,6,0.833,1,5,6,11,1,0,5,1,12,6,1
22025,1630581,0022500411,2025-12-23,CHI @ ATL,W,36,8,15,0.533,2,5,0.4,1,2,0.5,1,10,11,15,0,0,7,1,19,4,1
22025,1630581,0022500396,2025-12-21,CHI @ ATL,W,32,6,12,0.5,2,6,0.333,5,8,0.625,0,9,9,12,2,0,1,3,19,2,1
22025,1630581,0022500384,2025-12-19,CHI @ CLE,W,30,7,15,0.467,3,7,0.429,0,0,0.0,1,5,6,7,1,0,2,2,17,8,1
22025,1630581,0022500367,2025-12-17,CHI vs. CLE,W,34,8,18,0.444,5,11,0.455,2,2,1.0,0,11,11,11,2,1,3,2,23,15,1
22025,1630581,0022501223,2025-12-14,CHI vs. NOP,L,24,4,10,0.4,1,3,0.333,2,2,1.0,3,4,7,5,0,0,4,3,11,-6,1
22025,1630581,0022501209,2025-12-12,CHI @ CHA,W,34,10,17,0.588,2,4,0.5,4,4,1.0,1,6,7,11,1,0,3,2,26,8,1
22025,1630581,0022500361,2025-12-07,CHI vs. GSW,L,35,6,15,0.4,3,6,0.5,3,5,0.6,0,3,3,5,1,2,4,2,18,-21,1
22025,1630581,0022500345,2025-12-05,CHI vs. IND,L,33,2,9,0.222,1,3,0.333,4,4,1.0,0,7,7,6,1,0,5,1,9,-17,1
22025,1630581,0022500329,2025-12-03,CHI vs. BKN,L,36,10,14,0.714,0,2,0.0,8,11,0.727,2,9,11,11,0,0,3,0,28,3,1
22025,1630581,0022500314,2025-12-01,CHI @ ORL,L,36,8,14,0.571,3,6,0.5,3,5,0.6,1,8,9,6,3,1,8,2,22,5,1
22025,1630581,0022500295,2025-11-29,CHI @ IND,L,34,7,13,0.538,2,5,0.4,1,4,0.25,1,10,11,7,0,0,3,1,17,7,1
22025,1630581,0022500071,2025-11-28,CHI @ CHA,L,33,8,16,0.5,3,7,0.429,6,7,0.857,0,11,11,9,1,0,0,1,25,6,1
22025,1630581,0022500289,2025-11-24,CHI @ NOP,L,35,6,12,0.5,4,10,0.4,5,6,0.833,0,7,7,6,0,0,5,3,21,-13,1
22025,1630581,0022500271,2025-11-22,CHI vs. WAS,W,34,5,12,0.417,2,3,0.667,6,7,0.857,1,11,12,11,3,1,2,2,18,3,1
22025,1630581,0022500051,2025-11-21,CHI vs. MIA,L,31,6,14,0.429,1,3,0.333,6,9,0.667,4,7,11,9,0,0,3,2,19,-4,1
22025,1630581,0022500263,2025-11-19,CHI @ POR,W,31,3,9,0.333,2,3,0.667,1,1,1.0,0,5,5,13,1,1,5,3,9,-13,1
22025,1630581,0022500248,2025-11-17,CHI @ DEN,W,30,8,12,0.667,0,2,0.0,5,8,0.625,4,10,14,6,0,0,2,3,21,-17,1
22025,1630581,0022500240,2025-11-16,CHI @ UTA,L,42,9,21,0.429,2,7,0.286,6,7,0.857,2,11,13,13,2,2,6,2,26,-3,1
22025,1630581,0022500186,2025-11-08,CHI @ CLE,L,33,5,18,0.278,0,3,0.0,5,5,1.0,2,7,9,6,2,1,2,2,15,-12,1
22025,1630581,0022500035,2025-11-07,CHI @ MIL,L,35,6,14,0.429,2,5,0.4,2,4,0.5,0,7,7,14,1,0,4,1,16,-6,1
22025,1630581,0022500167,2025-11-04,CHI vs. PHI,W,37,10,19,0.526,2,4,0.5,7,8,0.875,3,12,15,12,1,0,5,3,29,8,1
22025,1630581,0022500153,2025-11-02,CHI @ NYK,L,38,10,19,0.526,1,5,0.2,2,2,1.0,2,9,11,12,2,0,4,2,23,0,1
22025,1630581,0022500023,2025-10-31,CHI vs. NYK,W,38,12,21,0.571,4,8,0.5,4,6,0.667,0,10,10,9,1,0,0,1,32,5,1
22025,1630581,0022500132,2025-10-29,CHI vs. SAC,W,31,7,14,0.5,1,2,0.5,5,7,0.714,2,6,8,12,0,0,5,1,20,24,1
22025,1630581,0022500115,2025-10-27,CHI vs. ATL,W,33,7,14,0.5,2,5,0.4,2,4,0.5,1,12,13,5,1,1,3,0,18,3,1
22025,1630581,0022500100,2025-10-25,CHI @ ORL,W,32,7,18,0.389,2,5,0.4,5,6,0.833,1,7,8,3,1,0,2,2,21,-10,1
22025,1630581,0022500084,2025-10-22,CHI vs. DET,W,29,5,12,0.417,1,2,0.5,8,11,0.727,1,4,5,11,0,1,6,5,19,6,1
