PLAYER,TEAM,OPP,OPP_DRTG,PPG,MPG,FG%,3P%,SIGNAL,INJ_FLAG,STARS_OUT,PTS_LOST
Paolo Banchero,ORL,CHO,112.9,22.2,34.8,0.459,0.305,🔥 HOT (High Usage),,,0.0
Desmond Bane,ORL,CHO,112.9,20.1,33.6,0.484,0.391,➡️  STEADY,,,0.0
Franz Wagner,ORL,CHO,112.9,20.6,30.0,0.481,0.345,➡️  STEADY,,,0.0
Anthony Black,ORL,CHO,112.9,15.0,29.8,0.447,0.333,➡️  STEADY,,,0.0
Wendell Carter Jr.,ORL,CHO,112.9,11.8,29.3,0.512,0.319,➡️  STEADY,,,0.0
Jalen Suggs,ORL,CHO,112.9,13.8,27.6,0.435,0.339,➡️  STEADY,,,0.0
Tristan Da Silva,ORL,CHO,112.9,9.9,24.7,0.45,0.374,📋 DEEP ROT,,,0.0
Jevon Carter,ORL,CHO,112.9,7.2,20.4,0.402,0.336,📋 DEEP ROT,,,0.0
Goga Bitadze,ORL,CHO,112.9,5.9,15.2,0.676,0.182,📋 DEEP ROT,,,0.0
Noah Penda,ORL,CHO,112.9,3.8,12.8,0.404,0.323,🔕 DNP RISK,,,0.0
Jett Howard,ORL,CHO,112.9,5.5,12.6,0.418,0.372,📋 DEEP ROT,,,0.0
Jamal Cain,ORL,CHO,112.9,5.4,12.2,0.487,0.384,📋 DEEP ROT,,,0.0
Moritz Wagner,ORL,CHO,112.9,6.9,11.9,0.426,0.314,🔕 DNP RISK,,,0.0
Jase Richardson,ORL,CHO,112.9,4.4,10.9,0.473,0.354,🔕 DNP RISK,,,0.0
Jonathan Isaac,ORL,CHO,0.0,2.6,10.0,0.422,0.184,🚫 OUT — Isaac (knee) is questionable for Friday's Play-In Tournament,OUT,,0.0
Kon Knueppel,CHO,ORL,108.7,18.5,31.5,0.475,0.425,➡️  STEADY,,,0.0
Miles Bridges,CHO,ORL,108.7,17.1,31.0,0.46,0.333,➡️  STEADY,,,0.0
Brandon Miller,CHO,ORL,108.7,20.2,30.3,0.435,0.383,➡️  STEADY,,,0.0
LaMelo Ball,CHO,ORL,108.7,20.1,28.0,0.407,0.368,➡️  STEADY,,,0.0
Moussa Diabaté,CHO,ORL,108.7,7.9,26.0,0.631,0.5,📋 DEEP ROT,GTD,,0.0
Sion James,CHO,ORL,108.7,5.4,22.5,0.371,0.352,📋 DEEP ROT,,,0.0
Ryan Kalkbrenner,CHO,ORL,108.7,7.6,21.4,0.753,0.0,📋 DEEP ROT,,,0.0
Grant Williams,CHO,ORL,108.7,7.0,19.8,0.426,0.388,📋 DEEP ROT,,,0.0
Coby White,CHO,ORL,108.7,15.6,19.3,0.461,0.391,📋 DEEP ROT,,,0.0
Josh Green,CHO,ORL,108.7,4.3,15.7,0.459,0.42,🔕 DNP RISK,,,0.0
PJ Hall,CHO,ORL,0.0,6.1,15.6,0.5,1.0,🚫 OUT — The Hornets announced Thursday that Hall underwent a procedu,OUT,,0.0
Tidjane Salaün,CHO,ORL,108.7,6.0,15.5,0.503,0.434,📋 DEEP ROT,,,0.0
Tre Mann,CHO,ORL,108.7,5.5,12.6,0.36,0.323,📋 DEEP ROT,,,0.0
Liam McNeeley,CHO,ORL,108.7,4.3,11.9,0.4,0.4,🔕 DNP RISK,,,0.0
Amir Coffey,PHX,GSW,111.1,3.2,10.7,0.487,0.347,🔕 DNP RISK,,,0.0
CJ Huntley,PHX,GSW,111.1,3.0,10.1,0.545,0.0,🔕 DNP RISK,,,0.0
Collin Gillespie,PHX,GSW,111.1,12.7,28.5,0.418,0.401,➡️  STEADY,,,0.0
Devin Booker,PHX,GSW,111.1,26.1,33.5,0.456,0.33,🔥 HOT (High Usage),,,0.0
Dillon Brooks,PHX,GSW,111.1,20.2,30.4,0.435,0.344,➡️  STEADY,,,0.0
Grayson Allen,PHX,GSW,111.1,16.5,28.8,0.403,0.349,➡️  STEADY,GTD,,0.0
Haywood Highsmith,PHX,GSW,111.1,5.4,13.0,0.522,0.571,📋 DEEP ROT,,,0.0
Isaiah Livers,PHX,GSW,111.1,1.8,9.6,0.344,0.3,🔕 DNP RISK,,,0.0
Jalen Green,PHX,GSW,111.1,17.8,25.9,0.422,0.313,➡️  STEADY,,,0.0
Jamaree Bouyea,PHX,GSW,111.1,5.7,14.0,0.458,0.295,📋 DEEP ROT,,,0.0
Jordan Goodwin,PHX,GSW,111.1,8.7,22.5,0.413,0.371,📋 DEEP ROT,,,0.0
Khaman Maluach,PHX,GSW,111.1,3.0,8.9,0.533,0.238,🔕 DNP RISK,,,0.0
Mark Williams,PHX,GSW,111.1,11.7,23.6,0.644,1.0,🔥 HOT (Efficiency),GTD,,0.0
Oso Ighodaro,PHX,GSW,111.1,6.5,22.1,0.653,0.0,📋 DEEP ROT,,,0.0
Rasheer Fleming,PHX,GSW,111.1,4.3,12.2,0.405,0.346,🔕 DNP RISK,,,0.0
Royce O'Neale,PHX,GSW,111.1,9.8,28.4,0.421,0.408,📋 DEEP ROT,,,0.0
Ryan Dunn,PHX,GSW,111.1,5.8,19.4,0.453,0.331,📋 DEEP ROT,,,0.0
Jimmy Butler,GSW,PHX,0.0,20.0,31.1,0.519,0.376,🚫 OUT — Butler underwent successful surgery Monday to repair a torn ,OUT,,0.0
Stephen Curry,GSW,PHX,116.2,26.6,30.9,0.468,0.393,🔥 HOT (High Usage),,Jimmy Butler,20.0
Brandin Podziemski,GSW,PHX,116.2,13.8,28.5,0.455,0.371,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
Draymond Green,GSW,PHX,116.2,8.4,27.5,0.418,0.326,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
Moses Moody,GSW,PHX,0.0,12.1,25.7,0.44,0.401,🚫 OUT — Moody has been diagnosed with a torn patellar tendon in his ,OUT,,0.0
Kristaps Porziņģis,GSW,PHX,116.2,16.1,23.7,0.433,0.311,⬆️  ROLE BOOST (Star Out),GTD,Jimmy Butler,20.0
De'Anthony Melton,GSW,PHX,116.2,12.3,23.0,0.407,0.294,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
Al Horford,GSW,PHX,116.2,8.3,21.5,0.426,0.361,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
Gui Santos,GSW,PHX,116.2,9.2,20.5,0.5,0.351,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
Charles Bassey,GSW,PHX,116.2,10.6,20.0,0.677,,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
Will Richard,GSW,PHX,116.2,6.4,20.0,0.468,0.335,📋 DEEP ROT,,Jimmy Butler,20.0
Pat Spencer,GSW,PHX,116.2,7.2,18.6,0.427,0.357,📋 DEEP ROT,,Jimmy Butler,20.0
Quinten Post,GSW,PHX,0.0,7.7,17.3,0.44,0.336,🚫 OUT — Post (foot) is out for Friday's Play-In Tournament game agai,OUT,,0.0
Nate Williams,GSW,PHX,116.2,8.0,17.1,0.489,0.433,⬆️  ROLE BOOST (Star Out),,Jimmy Butler,20.0
LJ Cryer,GSW,PHX,0.0,8.2,16.2,0.402,0.394,🚫 OUT — Cryer (ankle) will be re-evaluated in one week after an MRI ,OUT,,0.0
Gary Payton II,GSW,PHX,116.2,7.5,15.6,0.583,0.291,📋 DEEP ROT,,Jimmy Butler,20.0
Seth Curry,GSW,PHX,116.2,7.1,13.3,0.49,0.48,📋 DEEP ROT,,Jimmy Butler,20.0
Omer Yurtseven,GSW,PHX,116.2,3.8,11.6,0.423,0.0,🔕 DNP RISK,,Jimmy Butler,20.0
Malevy Leons,GSW,PHX,116.2,3.3,11.0,0.444,0.25,🔕 DNP RISK,,Jimmy Butler,20.0
